City Name,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Latitude,Longitude
Sibolga,72.43,97,39,3.13,1.74,98.78
Concordia,78.89,61,0,4.7,-31.39,-58.02
Zhukovka,33.8,97,90,4.47,53.53,33.73
Bismarck,30.52,86,90,9.01,46.81,-100.78
Palasa,67.44,94,34,1.7,18.77,84.42
Bealanana,70.77,87,75,3.53,-14.55,48.73
Makakilo City,71.58,100,75,4.7,21.35,-158.09
Alta Floresta,87.8,66,11,5.82,-9.88,-56.09
Marsh Harbour,76.39,78,86,16.96,26.54,-77.06
Yenagoa,101.82,8,38,4.5,4.92,6.26
Sitka,29.21,79,90,5.82,57.05,-135.33
Alihe,-2.06,86,74,6.08,50.57,123.72
Wawa,90.34,17,99,5.88,9.9,4.42
Khanbari,33.87,95,100,1.36,27.37,87.2
Moree,88.23,35,0,10.29,-29.47,149.85
Fiche,78.82,24,100,4.85,9.8,38.73
Phenix City,42.04,93,90,6.93,32.47,-85.0
Gaya,64.4,55,0,7.16,24.78,85.0
Nassau,36.66,86,90,6.82,40.75,-73.58
San Rafael,78.96,33,0,3.6,-34.62,-68.33
Chipinge,76.66,56,44,11.77,-20.19,32.62
Portree,43.18,87,31,11.99,57.41,-6.19
Mildura,67.57,72,97,13.87,-34.2,142.15
Bongandanga,94.05,33,71,1.77,1.5,21.05
Broome,30.94,92,90,4.7,42.25,-75.83
Rudnogorsk,-15.66,97,100,2.46,57.26,103.75
Margate,52.61,57,20,25.28,51.38,1.39
Vestmannaeyjar,32.0,69,100,4.7,63.44,-20.27
Abeche,86.0,7,12,6.93,13.83,20.83
Bajna,54.36,53,0,5.55,27.9,77.68
Alice Springs,77.0,78,90,12.75,-23.7,133.88
Dzilam Gonzalez,74.1,83,100,22.91,21.28,-88.93
Antofagasta,70.84,73,77,6.93,-23.65,-70.4
Teguldet,-3.05,98,100,4.0,57.31,88.17
Latur,75.33,25,0,1.59,18.4,76.58
Brooks,42.01,75,100,18.01,50.58,-111.89
Olafsvik,30.36,73,100,4.56,64.89,-23.71
Norman,30.49,74,1,5.3,35.22,-97.44
Kilindoni,81.55,72,100,6.69,-7.91,39.67
Mattru,92.14,46,87,2.98,7.62,-11.83
Trelew,85.3,17,11,11.56,-43.25,-65.31
Manokwari,73.72,86,100,7.47,-0.87,134.08
Parrita,67.08,72,63,5.82,9.52,-84.32
El Alto,62.6,100,40,11.41,-4.27,-81.21
Illapel,74.79,38,0,8.79,-31.63,-71.17
Louangphabang,78.8,47,20,2.24,19.89,102.13
Gorom-Gorom,93.16,6,0,14.09,14.44,-0.24
Berlevag,20.46,81,100,23.17,70.86,29.09
Lodja,74.03,93,96,3.15,-3.48,23.43
La Asuncion,78.8,94,75,14.56,11.03,-63.86
Krasnosel'kup,-23.66,100,95,5.93,65.7,82.47
Ratnapura,69.12,87,83,2.17,6.68,80.4
Comodoro Rivadavia,82.4,32,82,17.22,-45.87,-67.5
Vilhena,80.6,78,84,9.17,-12.74,-60.15
Cockburn Town,78.87,77,0,16.69,21.46,-71.14
Fougamou,85.91,74,78,3.04,-1.22,10.58
Bay Roberts,20.08,73,90,14.99,47.6,-53.26
San Quintin,57.27,58,0,1.79,30.48,-115.95
Bara,89.15,9,6,10.98,10.37,10.73
Marovoay,89.6,62,40,9.17,-16.1,46.63
Jieshi,52.65,79,0,6.73,22.81,115.83
Hanko,37.51,96,100,13.0,59.83,22.95
Feijo,76.82,87,100,1.88,-8.16,-70.35
Medvedevo,28.4,92,75,8.95,56.63,47.8
Bozeman,43.56,36,1,9.17,45.68,-111.04
Cleethorpes,50.49,61,56,27.51,53.56,-0.03
